300,Ron,5
50,Adam,2
500,Lok,3
0,dddd,2
0,new,0
0,sssssssss,0
200,Krzys,4
3000,ASD,7
700,kkk,5
1500,rrt,5
2300,dasda,13
1900,TEST,51
700,daaaaa,6
1600,NNNN,5
1000,BBBB,2
